termino,estimacion,error_std,t_valor,p_valor,anio
condicion_formalidadInformal:nivel_educativoPrimario Completo,-2280.921202657776,940.3950282768786,-2.4254926217944752,0.015299126919389418,2017
condicion_formalidadInformal:nivel_educativoSecundario Incompleto,-2302.703464342756,913.2349471711208,-2.521479791674331,0.011696318431965226,2017
condicion_formalidadInformal:nivel_educativoSecundario Completo,-3777.0030531327016,906.8523093274828,-4.164959403294356,3.131170850155848e-5,2017
condicion_formalidadInformal:nivel_educativoSuperior Incompleto,-4332.433621802625,961.8348780384857,-4.504342398809613,6.707179108789935e-6,2017
condicion_formalidadInformal:nivel_educativoSuperior Completo,-2838.0192346391023,1170.6793989039284,-2.4242497453156293,0.015351571089938594,2017
condicion_formalidadInformal:nivel_educativoPrimario Completo,-3269.3023946670382,4424.374743367349,-0.7389298113972154,0.45996348666607634,2021
condicion_formalidadInformal:nivel_educativoSecundario Incompleto,-9249.580509357726,4227.768486610739,-2.187816229448459,0.02870143469630322,2021
condicion_formalidadInformal:nivel_educativoSecundario Completo,-10069.249249363513,4030.7697286973544,-2.4980958792249455,0.012498980265855402,2021
condicion_formalidadInformal:nivel_educativoSuperior Incompleto,-14120.821643580413,4200.354122939563,-3.3618169397817677,7.766346856104994e-4,2021
condicion_formalidadInformal:nivel_educativoSuperior Completo,-8148.253064604873,5443.746691786825,-1.4968097389429293,0.13446800743853712,2021
condicion_formalidadInformal:nivel_educativoPrimario Completo,84497.34735297841,100338.03221432558,0.8421268136142943,0.3997342607160418,2025
condicion_formalidadInformal:nivel_educativoSecundario Incompleto,46161.45785827853,89036.97842475418,0.5184526550088391,0.6041523314182913,2025
condicion_formalidadInformal:nivel_educativoSecundario Completo,16167.387723487383,87207.4112421009,0.18539006597276786,0.8529263269406365,2025
condicion_formalidadInformal:nivel_educativoSuperior Incompleto,-139456.28437842513,91810.93229654763,-1.5189507490021328,0.1288020296277433,2025
condicion_formalidadInformal:nivel_educativoSuperior Completo,17820.052128553783,102074.680522264,0.17457857362254459,0.8614138194013214,2025
